Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ThoraxClavicula[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ThoraxClavicula[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ThoraxClavicula[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ClaviculaScapula[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ClaviculaScapula[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ClaviculaScapula[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ScapulaHumerus[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ScapulaHumerus[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ScapulaHumerus[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.HumerusUlna,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.UlnaRadius,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.RadiusWrist,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.WristHand
  8.500000000000001e-01,  1.069591865607659e-03, -3.957906984333580e-01,  2.063557163665188e-01,  9.255042466993642e-02,  8.034621363630783e-01,  1.077573071875388e-01, -1.789372863513950e-01,  4.830182664385117e-01,  5.204056206334843e-01,  1.047197556609247e+00, -2.579559831782917e-04,  4.440892098500626e-15,  3.455683128539278e-09
  8.600000000000000e-01,  1.069591865605308e-03, -3.957906984333595e-01,  2.063557163665272e-01,  9.255042466994222e-02,  8.034621363630758e-01,  1.077573071875390e-01, -1.789372879908780e-01,  4.830182724118939e-01,  5.204056202146319e-01,  1.047197556609218e+00, -2.579559863616218e-04,  1.310063169057685e-14,  3.450027652451838e-09
  8.700000000000000e-01,  1.069591865609114e-03, -3.957906984333597e-01,  2.063557163665350e-01,  9.255042466994624e-02,  8.034621363630799e-01,  1.077573071875377e-01, -1.789372839935650e-01,  4.830182578474828e-01,  5.204056212358373e-01,  1.047197556609194e+00, -2.579559916316405e-04,  1.798561299892754e-14,  3.440817686328757e-09
  8.800000000000000e-01,  1.069591865610906e-03, -3.957906984333596e-01,  2.063557163665385e-01,  9.255042466994549e-02,  8.034621363630781e-01,  1.077573071875369e-01, -1.789372867054850e-01,  4.830182677282754e-01,  5.204056205433711e-01,  1.047197556609182e+00, -2.579559891142455e-04,  1.665334536937735e-14,  3.428472172828379e-09
  8.899999999999999e-01,  1.069591865612137e-03, -3.957906984333587e-01,  2.063557163665374e-01,  9.255042466994304e-02,  8.034621363630765e-01,  1.077573071875375e-01, -1.789372850447375e-01,  4.830182616773443e-01,  5.204056209676368e-01,  1.047197556609186e+00, -2.579559900209051e-04,  9.325873406851315e-15,  3.413946902952603e-09
  9.000000000000000e-01,  1.069591865603628e-03, -3.957906984333563e-01,  2.063557163664989e-01,  9.255042466992094e-02,  8.034621363630742e-01,  1.077573071875321e-01, -1.789372810515643e-01,  4.830182471291263e-01,  5.204056219873391e-01,  1.047197556609284e+00, -2.579559942120482e-04,  3.885780586188049e-15,  3.398477055327476e-09
  9.099999999999999e-01,  1.069591865604076e-03, -3.957906984333570e-01,  2.063557163664997e-01,  9.255042466992143e-02,  8.034621363630747e-01,  1.077573071875326e-01, -1.789372810465570e-01,  4.830182471108881e-01,  5.204056219886773e-01,  1.047197556609281e+00, -2.579559901693595e-04,  6.550315845288425e-15,  3.383403557322140e-09
  9.199999999999999e-01,  1.069591865603852e-03, -3.957906984333559e-01,  2.063557163664998e-01,  9.255042466992165e-02,  8.034621363630734e-01,  1.077573071875328e-01, -1.789372826936191e-01,  4.830182531120153e-01,  5.204056215678383e-01,  1.047197556609278e+00, -2.579559989469872e-04,  1.110223024625157e-14,  3.369929557628382e-09
  9.299999999999999e-01,  1.069591865602173e-03, -3.957906984333562e-01,  2.063557163665000e-01,  9.255042466992222e-02,  8.034621363630732e-01,  1.077573071875329e-01, -1.789372883276487e-01,  4.830182736397235e-01,  5.204056201285381e-01,  1.047197556609275e+00, -2.579559872713906e-04,  1.487698852997709e-14,  3.359077627163030e-09
  9.399999999999999e-01,  1.069591865607658e-03, -3.957906984333548e-01,  2.063557163665012e-01,  9.255042466991824e-02,  8.034621363630728e-01,  1.077573071875316e-01, -1.789372870608289e-01,  4.830182690240652e-01,  5.204056204521716e-01,  1.047197556609273e+00, -2.579559871651852e-04,  2.042810365310288e-14,  3.351609878521344e-09
  9.500000000000000e-01,  1.069591865602957e-03, -3.957906984333560e-01,  2.063557163665003e-01,  9.255042466992226e-02,  8.034621363630740e-01,  1.077573071875319e-01, -1.789372830771372e-01,  4.830182545095481e-01,  5.204056214698607e-01,  1.047197556609272e+00, -2.579559874343905e-04,  2.431388423929092e-14,  3.348004040670816e-09
  9.600000000000000e-01,  1.069591865601725e-03, -3.957906984333563e-01,  2.063557163664990e-01,  9.255042466992108e-02,  8.034621363630738e-01,  1.077573071875323e-01, -1.789372830794310e-01,  4.830182545179177e-01,  5.204056214692978e-01,  1.047197556609274e+00, -2.579559879428773e-04,  2.553512956637860e-14,  3.348512134238034e-09
  9.700000000000000e-01,  1.069591865603293e-03, -3.957906984333562e-01,  2.063557163664973e-01,  9.255042466991982e-02,  8.034621363630754e-01,  1.077573071875311e-01, -1.789372854190125e-01,  4.830182630420824e-01,  5.204056208716075e-01,  1.047197556609281e+00, -2.579559778928948e-04,  2.153832667772804e-14,  3.353297695074531e-09
  9.800000000000000e-01,  1.069591865594335e-03, -3.957906984333535e-01,  2.063557163664503e-01,  9.255042466989827e-02,  8.034621363630727e-01,  1.077573071875340e-01, -1.789372854247488e-01,  4.830182630639205e-01,  5.204056208701360e-01,  1.047197556609420e+00, -2.579559902050575e-04, -4.529709940470639e-14,  3.362489398028856e-09
  9.900000000000000e-01,  1.069591865607658e-03, -3.957906984333540e-01,  2.063557163664950e-01,  9.255042466991406e-02,  8.034621363630755e-01,  1.077573071875314e-01, -1.789372827131558e-01,  4.830182531833886e-01,  5.204056215628794e-01,  1.047197556609284e+00, -2.579559932249989e-04,  3.075317778211683e-14,  3.375977497555027e-09
  1.000000000000000e+00,  1.069591865599150e-03, -3.957906984333549e-01,  2.063557163664798e-01,  9.255042466991131e-02,  8.034621363630747e-01,  1.077573071875293e-01, -1.789372843715213e-01,  4.830182592257942e-01,  5.204056211392377e-01,  1.047197556609341e+00, -2.579559890325789e-04, -3.164135620181696e-14,  3.393091474457321e-09
  1.010000000000000e+00,  1.069591865598926e-03, -3.957906984333572e-01,  2.063557163664810e-01,  9.255042466991216e-02,  8.034621363630755e-01,  1.077573071875307e-01, -1.789372814647376e-01,  4.830182486347669e-01,  5.204056218818661e-01,  1.047197556609349e+00, -2.579559928402056e-04, -4.174438572590589e-14,  3.411447069279205e-09
  1.020000000000000e+00,  1.069591865606987e-03, -3.957906984333583e-01,  2.063557163665076e-01,  9.255042466993071e-02,  8.034621363630811e-01,  1.077573071875389e-01, -1.789372854649550e-01,  4.830182632089506e-01,  5.204056208599462e-01,  1.047197556609283e+00, -2.579559899996974e-04, -1.032507412901396e-14,  3.425894179454048e-09
  1.030000000000000e+00,  1.069591865599934e-03, -3.957906984333555e-01,  2.063557163664891e-01,  9.255042466991689e-02,  8.034621363630753e-01,  1.077573071875304e-01, -1.789372868866918e-01,  4.830182683897969e-01,  5.204056204966592e-01,  1.047197556609306e+00, -2.579559986378647e-04, -4.551914400963142e-15,  3.427796213539835e-09
  1.040000000000000e+00,  1.069591865604972e-03, -3.957906984333551e-01,  2.063557163664931e-01,  9.255042466991638e-02,  8.034621363630745e-01,  1.077573071875319e-01, -1.789372869056090e-01,  4.830182684586108e-01,  5.204056204918385e-01,  1.047197556609297e+00, -2.579559802216962e-04,  6.661338147750938e-16,  3.401295300964335e-09
